ZCTA5CE20,buildingCostSum,avgConstructionYear,mainOccupancyType,claimCount
34446,1099261.0,1986.3846153846155,1.0,13
34448,360812926.0,1975.7679127725858,1.0,642
34449,329361.0,1980.0,1.0,3
34450,1370212.0,1985.0,1.0,15
34452,491112.0,1978.6666666666667,1.0,3
34453,272934.0,1989.75,1.0,4
34461,352801.0,1980.5,1.0,2
34470,9537142.0,1969.5151515151515,1.0,33
34476,523738.0,1992.6666666666667,1.0,3
34480,3121888.0,1985.3333333333333,1.0,12
34482,9005918.0,1989.9411764705883,1.0,17
34491,404906.0,1984.5,1.0,2
34601,10325304.0,1980.962962962963,1.0,81
34602,788207.0,1982.0,11.0,3
34607,42114149.0,1972.4496124031007,11.0,258
34609,3553038.0,1990.3333333333333,1.0,18
34610,1123267.0,2000.0,1.0,4
34614,1047482.0,1988.5,1.0,6
34638,13300024.0,1974.6216216216217,1.0,74
34639,26299597.0,1983.888888888889,1.0,90
34654,5147435.0,1988.225806451613,1.0,31
34655,165137402.0,1976.2439716312056,1.0,705
34667,162414455.0,1973.019550342131,1.0,1023
34668,2495835186.0,1970.535111111111,1.0,1125
34685,60527018.0,1977.9176470588236,1.0,85
34695,102228346.0,1975.5337423312883,1.0,163
34698,137847626.0,1961.05604719764,1.0,339
34711,4618672.0,1984.8125,1.0,16
34714,79105.0,2000.0,1.0,1
34736,663595262.0,1985.1538461538462,1.0,13
34737,763872.0,1982.5,1.0,4
34739,5309722.0,1984.076923076923,1.0,13
34744,214320980.0,1979.4129692832764,11.0,293
34746,2877920.0,1989.6,1.0,10
34747,190803.0,1988.0,1.0,2
34748,1975075.0,1977.142857142857,1.0,7
34753,453436.0,1974.5,1.0,2
34756,929994.0,1988.5,1.0,2
34758,4938086.0,1996.5714285714287,11.0,21
34759,12088931.0,1997.3934426229507,11.0,61
34771,4870872.0,1978.56,11.0,25
34772,4438785.0,1989.1724137931035,1.0,29
34773,125000.0,1975.0,1.0,1
34785,185168.0,1966.5,1.0,2
34787,7019684.0,1993.2380952380952,11.0,21
34788,396868.0,1999.3333333333333,1.0,3
34945,141049124.0,1979.8961038961038,1.0,154
34949,219740901.0,1969.9391575663026,1.0,641
34951,5972022.0,1977.8235294117646,1.0,34
34952,1052875481.0,1983.0462962962963,1.0,108
34956,550119.0,1984.5,1.0,4
34972,9790115.0,1980.6629213483145,1.0,89
34974,4262234.0,1978.8,1.0,40
34982,106363060.0,1974.3125,1.0,272
34986,15094607.0,1996.203125,1.0,64
34987,178793.0,1964.0,1.0,1
34990,2901796158.0,1978.179012345679,1.0,486
34996,269321272.0,1978.4079497907949,1.0,478
34997,290373.0,1983.0,1.0,1
